Name,Team,Wk17,Pos,Pos Rk,Rank,ADP,Rookie,+/-,id,ADP Mod,HPPR,Rank,PG,Rank,Gm,PaATT,Comp,PaYD,PaTD,INT,Car,RuYD,RuTD,Tar,Rec,ReYD,ReTD,Att%,Comp%,YPA,TD%,INT%,Car%,YPC,TD%,Tar%,Comp%,YPT,TD%
Ashton Jeanty,FA,,RB,RB4,12,14.4,Rookie,2.4,dc9f2658-d0ce-477a-8c1f-d0b70c3a3c25,1.25,223.33,1,14.0,1,16.0,0,0,0,0,0,225,1061,9,50,31,343,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Tetairoa McMillan,FA,,WR,WR22,43,46.9,Rookie,3.9,377ba63d-bda8-486e-9ab5-4b86ee3944b9,1.00,200.29,2,12.5,2,16.0,0,0,0,0,0,5,35,0,90,65,1102,9,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Luther Burden III,FA,,WR,WR38,72,73.1,Rookie,1.1,d8dedcee-12da-4022-9444-75c536c0bf2b,0.83,166.11,3,10.4,3,16.0,0,0,0,0,0,4,29,0,75,54,914,7,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Emeka Egbuka,FA,,WR,WR39,73,78.2,Rookie,5.2,f5054107-d824-4233-9ac9-d03bca9eedf2,0.80,160.17,4,10.0,4,16.0,0,0,0,0,0,4,28,0,72,52,881,7,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Cam Ward,FA,,QB,QB21,139,153,Rookie,14,985e271f-a9ff-4ed0-943f-569b1d8cc4d1,0.76,159.43,5,10.0,5,16.0,380,239,2429,14,9,30,167,2,0,0,0,0,100.0%,63.0%,6.4,3.6%,2.4%,100.0%,5.5,5.0%,0.0%,0.0%,0.0,0.0%
Omarion Hampton,FA,,RB,RB17,55,59.5,Rookie,4.5,5a00d139-d838-4968-8555-bf0de26ad52f,0.87,155.69,6,9.7,6,16.0,0,0,0,0,0,157,739,6,35,22,239,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Shedeur Sanders,FA,,QB,QB27,164,169.9,Rookie,5.9,ba55deb5-ec96-4411-9027-edcd1dfdd01e,0.71,149.00,7,9.3,7,16.0,355,224,2271,13,9,28,156,1,0,0,0,0,100.0%,63.0%,6.4,3.6%,2.4%,100.0%,5.5,5.0%,0.0%,0.0%,0.0,0.0%
Kaleb Johnson,FA,,RB,RB21,61,65.8,Rookie,4.8,6aed6fce-2c8f-4333-9eaf-0d60e4ce4693,0.83,148.04,8,9.3,8,16.0,0,0,0,0,0,149,703,6,33,21,227,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
TreVeyon Henderson,FA,,RB,RB19,59,67.5,Rookie,8.5,f7bdd2c5-f278-4e3d-aa6b-a7b353ee162f,0.82,146.04,9,9.1,9,16.0,0,0,0,0,0,147,693,6,33,20,224,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Matthew Golden,FA,,WR,WR48,89,94.3,Rookie,5.3,71184e23-4ef5-4e1f-b4dc-23bf64e5f929,0.71,142.77,10,8.9,10,16.0,0,0,0,0,0,4,25,0,64,46,785,6,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Quinshon Judkins,FA,,RB,RB24,70,76,Rookie,6,46f00a29-b7aa-4a69-9a3b-17851be394b8,0.76,136.44,11,8.5,11,16.0,0,0,0,0,0,137,648,5,30,19,210,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Travis Hunter,FA,,WR,WR60,131,119.1,Rookie,-11.9,cbe59921-f2a5-4987-bb5e-2686ec73bc4b,0.60,119.59,12,7.5,12,16.0,0,0,0,0,0,3,21,0,54,39,658,5,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Tre Harris,FA,,WR,WR59,130,126.8,Rookie,-3.2,2b5aebd1-b709-41d3-96c6-ff1cd8b8025c,0.57,113.19,13,7.1,13,16.0,0,0,0,0,0,3,20,0,51,37,623,5,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Isaiah Bond,FA,,WR,WR66,150,149.4,Rookie,-0.6,8a2f104f-f640-4830-bf69-138da4084f41,0.48,96.32,14,6.0,14,16.0,0,0,0,0,0,2,17,0,43,31,530,4,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Cam Skattebo,FA,,RB,RB38,119,120,Rookie,1,2b840742-8233-4de4-a073-be236ca59595,0.54,95.95,15,6.0,15,16.0,0,0,0,0,0,96,456,4,21,13,147,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Jalen Royals,FA,,WR,WR72,166,181.8,Rookie,15.8,aa4c3f92-5076-4c51-aa3c-962efecbb462,0.38,76.42,19,5.9,16,13.0,0,0,0,0,0,2,13,0,34,25,420,3,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Jayden Higgins,FA,,WR,WR73,170,186.9,Rookie,16.9,27747522-e1d5-47e2-9124-7c729cc1834e,0.37,73.68,21,5.7,17,13.0,0,0,0,0,0,2,13,0,33,24,405,3,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Devin Neal,FA,,RB,RB36,116,127.3,Rookie,11.3,85245e8d-c5ca-4a51-a935-06bcd38d63b2,0.51,90.51,16,5.7,18,16.0,0,0,0,0,0,91,430,4,20,13,139,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Xavier Restrepo,FA,,WR,WR65,146,161,Rookie,15,fd917e13-1595-4d7b-996f-0130eb43edfe,0.44,88.66,17,5.5,19,16.0,0,0,0,0,0,2,16,0,40,29,488,4,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Ollie Gordon II,FA,,RB,RB55,182,155.9,Rookie,-26.1,ca6a9c85-5513-46c5-987d-8d97d082ff09,0.40,72.00,22,5.5,20,13.0,0,0,0,0,0,72,342,3,16,10,111,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Jack Bech,FA,,WR,WR80,192,192.8,Rookie,0.8,ed45a726-b401-4d71-bd3c-c70044b355f3,0.35,70.64,23,5.4,21,13.0,0,0,0,0,0,2,12,0,32,23,389,3,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Elic Ayomanor,FA,,WR,WR68,155,172.3,Rookie,17.3,8ab364d5-d787-4f0e-b7bd-26a6708cfc1a,0.41,81.78,18,5.1,22,16.0,0,0,0,0,0,2,14,0,37,27,450,4,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Ricky White,FA,,WR,WR88,216,238.5,Rookie,22.5,6e65265d-a4c7-41e5-aae5-c20f8a868387,0.25,50.97,29,5.1,23,10.0,0,0,0,0,0,1,9,0,23,17,280,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Tory Horton,FA,,WR,WR89,217,239.6,Rookie,22.6,ac1d6f18-4878-4753-900e-eab84a8b20d6,0.25,50.57,30,5.1,24,10.0,0,0,0,0,0,1,9,0,23,16,278,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Tai Felton,FA,,WR,WR102,250,239.8,Rookie,-10.2,98ab38bc-0915-4467-906c-365b878a8c2e,0.25,50.50,31,5.0,25,10.0,0,0,0,0,0,1,9,0,23,16,278,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Savion Williams,FA,,WR,WR77,187,207.3,Rookie,20.3,26e82785-f295-49aa-b38e-6245955cbf34,0.32,63.69,24,4.9,26,13.0,0,0,0,0,0,2,11,0,29,21,350,3,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Woody Marks,FA,,RB,RB78,239,206.4,Rookie,-32.6,6b107a45-cf1a-4dfd-8cc8-945831ad1667,0.27,48.07,33,4.8,27,10.0,0,0,0,0,0,48,228,2,11,7,74,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Tez Johnson,FA,,WR,WR78,190,214.9,Rookie,24.9,b2646fea-6cd2-43c6-87a6-f7832aa120c4,0.30,60.33,26,4.6,28,13.0,0,0,0,0,0,2,11,0,27,20,332,3,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
Dylan Sampson,FA,,RB,RB40,133,152.8,Rookie,19.8,d907807c-f5b6-4d19-8bde-8a4f733e86fc,0.41,73.81,20,4.6,29,16.0,0,0,0,0,0,74,350,3,16,10,113,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Jaylin Noel,FA,,WR,WR85,200,227.3,Rookie,27.3,03fa5abb-9a02-4a55-8ea4-2be0789cc486,0.28,55.21,27,4.2,30,13.0,0,0,0,0,0,1,10,0,25,18,304,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,7.0,0.0%,100.0%,72.2%,12.2,10.0%
DJ Giddens,FA,,RB,RB58,188,198,Rookie,10,0d2598f2-8c30-4d9b-8e1a-be92e18f58d6,0.29,51.41,28,4.0,31,13.0,0,0,0,0,0,52,244,2,11,7,79,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Jordan James,FA,,RB,RB67,215,231.7,Rookie,16.7,6332e4fb-ae3c-4c71-8ad6-b8b4891d4da1,0.22,39.26,38,3.9,32,10.0,0,0,0,0,0,39,186,2,9,5,60,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
RJ Harvey,FA,,RB,RB54,180,200.5,Rookie,20.5,2aee5be9-da00-4310-9a4f-b653318ecc24,0.28,50.39,32,3.9,33,13.0,0,0,0,0,0,51,239,2,11,7,77,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Tyler Warren,FA,,TE,TE8,95,101.1,Rookie,6.1,db9ebcd6-37c0-4541-b196-6dc5229b77f5,0.74,60.65,25,3.8,34,16.0,0,0,0,0,0,1,7,0,33,26,335,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Trevor Etienne,FA,,RB,RB74,232,236.4,Rookie,4.4,f28c0797-90fc-4de6-8ce9-63c41de9c45b,0.21,37.81,39,3.8,35,10.0,0,0,0,0,0,38,180,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Kalel Mullings,FA,,RB,RB63,207,236.8,Rookie,29.8,772b30ac-426e-445c-aeca-b0cfdd5601cb,0.21,37.69,40,3.8,36,10.0,0,0,0,0,0,38,179,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Bhayshul Tuten,FA,,RB,RB75,233,236.9,Rookie,3.9,969daecb-eacd-4590-8b20-fd5682627f7d,0.21,37.66,41,3.8,37,10.0,0,0,0,0,0,38,179,1,8,5,58,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Rahiem Sanders,FA,,RB,RB64,209,238.9,Rookie,29.9,5ddab591-f590-449e-95be-bbb9e201dc7b,0.21,37.06,42,3.7,38,10.0,0,0,0,0,0,37,176,1,8,5,57,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Kyle Monangai,FA,,RB,RB81,244,239.4,Rookie,-4.6,1b60cd29-2a8b-4937-b9c1-d5eb778f428d,0.21,36.92,43,3.7,39,10.0,0,0,0,0,0,37,175,1,8,5,57,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Damien Martinez,FA,,RB,RB61,205,217.4,Rookie,12.4,46a140dc-52d0-4533-b640-180836f05f56,0.25,44.02,35,3.4,40,13.0,0,0,0,0,0,44,209,2,10,6,68,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Brashard Smith,FA,,RB,RB59,203,222.4,Rookie,19.4,25711927-5878-48b0-92fd-61e2b2bd5266,0.24,42.29,36,3.3,41,13.0,0,0,0,0,0,43,201,2,9,6,65,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
LeQuint Allen Jr.,FA,,RB,RB62,206,229.2,Rookie,23.2,a16c6edd-e99a-4622-b40a-df98f4b90059,0.22,40.06,37,3.1,42,13.0,0,0,0,0,0,40,190,2,9,6,62,0,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,4.7,3.9%,100.0%,62.5%,6.9,5.0%
Colston Loveland,FA,,TE,TE13,132,145.1,Rookie,13.1,f926f55d-f9bc-4023-b40d-4f6676dff716,0.57,46.07,34,2.9,43,16.0,0,0,0,0,0,1,6,0,25,20,254,2,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Harold Fannin Jr.,FA,,TE,TE22,177,188.3,Rookie,11.3,671b5fc8-35e6-40fc-a04e-fdae1079d532,0.43,35.17,44,2.7,44,13.0,0,0,0,0,0,1,4,0,19,15,194,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Gunnar Helm,FA,,TE,TE36,246,238.3,Rookie,-7.7,d6f71a88-60fb-47a0-8572-d1f9c66cd6bc,0.32,25.73,47,2.6,45,10.0,0,0,0,0,0,1,3,0,14,11,142,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Elijah Arroyo,FA,,TE,TE29,202,225.5,Rookie,23.5,63b14120-1d8e-48c2-b6b0-3f12c49990aa,0.34,27.87,45,2.1,46,13.0,0,0,0,0,0,1,3,0,15,12,154,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
Mason Taylor,FA,,TE,TE27,199,231.5,Rookie,32.5,4b1309a5-25c2-49f5-90c0-3737b5f869c4,0.33,26.85,46,2.1,47,13.0,0,0,0,0,0,1,3,0,15,12,148,1,0.0%,0.0%,0.0,0.0%,0.0%,100.0%,5.0,0.0%,100.0%,77.8%,10.0,6.7%
